"Age","Checking Account Status","Credit Amount","Credit History","Duration in month","Housing","Installment rate in % of disposable income","Job type","Number of dependents","Number of existing credits","Other installment plans","Personal Status","Present Employment since","Present residence since","Property","Purpose","Savings Account/Bonds","Telephone","CreditRatingGood?"
67,"Less than 0 DM",1169,"critical account other credits existing (not at this bank)",6,"own",4,"skilled employee official",1,2,"none","male single","Greater than 7 years",4,"real estate","radio television","unknown no savings account","yes registered under the customers name","true"
22,"0 to 200 DM",5951,"existing credits paid back duly till now",48,"own",2,"skilled employee official",1,1,"none","female divorced separated married","1 to 4 years",2,"real estate","radio television","Less than 100 DM","none","false"
49,"no checking account",2096,"critical account other credits existing (not at this bank)",12,"own",2,"unskilled - resident",2,1,"none","male single","4 to 7 years",3,"real estate","education","Less than 100 DM","none","true"
45,"Less than 0 DM",7882,"existing credits paid back duly till now",42,"for free",2,"skilled employee official",2,1,"none","male single","4 to 7 years",4,"building society savings agreement life insurance","furniture equipment","Less than 100 DM","none","true"
53,"Less than 0 DM",4870,"delay in paying off in the past",24,"for free",3,"skilled employee official",2,2,"none","male single","1 to 4 years",4,"unknown / no property","new car","Less than 100 DM","none","false"
35,"no checking account",9055,"existing credits paid back duly till now",36,"for free",2,"unskilled - resident",2,1,"none","male single","1 to 4 years",4,"unknown / no property","education","unknown no savings account","yes registered under the customers name","true"
53,"no checking account",2835,"existing credits paid back duly till now",24,"own",3,"skilled employee official",1,1,"none","male single","Greater than 7 years",4,"building society savings agreement life insurance","furniture equipment","500 to 1000 DM","none","true"
35,"0 to 200 DM",6948,"existing credits paid back duly till now",36,"rent",2,"management self-employed highly qualified employee officer",1,1,"none","male single","1 to 4 years",2,"car or other not in attribute 6","used car","Less than 100 DM","yes registered under the customers name","true"
61,"no checking account",3059,"existing credits paid back duly till now",12,"own",2,"unskilled - resident",1,1,"none","male divorced separated","4 to 7 years",4,"real estate","radio television","Greater than 1000 DM","none","true"
28,"0 to 200 DM",5234,"critical account other credits existing (not at this bank)",30,"own",4,"management self-employed highly qualified employee officer",1,2,"none","male married widowed","unemployed",2,"car or other not in attribute 6","new car","Less than 100 DM","none","false"
25,"0 to 200 DM",1295,"existing credits paid back duly till now",12,"rent",3,"skilled employee official",1,1,"none","female divorced separated married","Less than 1 year",1,"car or other not in attribute 6","new car","Less than 100 DM","none","false"
24,"Less than 0 DM",4308,"existing credits paid back duly till now",48,"rent",3,"skilled employee official",1,1,"none","female divorced separated married","Less than 1 year",4,"building society savings agreement life insurance","business","Less than 100 DM","none","false"
22,"0 to 200 DM",1567,"existing credits paid back duly till now",12,"own",1,"skilled employee official",1,1,"none","female divorced separated married","1 to 4 years",1,"car or other not in attribute 6","radio television","Less than 100 DM","yes registered under the customers name","true"
60,"Less than 0 DM",1199,"critical account other credits existing (not at this bank)",24,"own",4,"unskilled - resident",1,2,"none","male single","Greater than 7 years",4,"car or other not in attribute 6","new car","Less than 100 DM","none","false"
28,"Less than 0 DM",1403,"existing credits paid back duly till now",15,"rent",2,"skilled employee official",1,1,"none","female divorced separated married","1 to 4 years",4,"car or other not in attribute 6","new car","Less than 100 DM","none","true"
32,"Less than 0 DM",1282,"existing credits paid back duly till now",24,"own",4,"unskilled - resident",1,1,"none","female divorced separated married","1 to 4 years",2,"car or other not in attribute 6","radio television","100 to 500 DM","none","false"
53,"no checking account",2424,"critical account other credits existing (not at this bank)",24,"own",4,"skilled employee official",1,2,"none","male single","Greater than 7 years",4,"building society savings agreement life insurance","radio television","unknown no savings account","none","true"
25,"Less than 0 DM",8072,"no credits taken all credits paid back duly",30,"own",2,"skilled employee official",1,3,"bank","male single","Less than 1 year",3,"car or other not in attribute 6","business","unknown no savings account","none","true"
44,"0 to 200 DM",12579,"existing credits paid back duly till now",24,"for free",4,"management self-employed highly qualified employee officer",1,1,"none","female divorced separated married","Greater than 7 years",2,"unknown / no property","used car","Less than 100 DM","yes registered under the customers name","false"
31,"no checking account",3430,"existing credits paid back duly till now",24,"own",3,"skilled employee official",2,1,"none","male single","Greater than 7 years",2,"car or other not in attribute 6","radio television","500 to 1000 DM","yes registered under the customers name","true"
48,"no checking account",2134,"critical account other credits existing (not at this bank)",9,"own",4,"skilled employee official",1,3,"none","male single","1 to 4 years",4,"car or other not in attribute 6","new car","Less than 100 DM","yes registered under the customers name","true"
44,"Less than 0 DM",2647,"existing credits paid back duly till now",6,"rent",2,"skilled employee official",2,1,"none","male single","1 to 4 years",3,"real estate","radio television","500 to 1000 DM","none","true"
48,"Less than 0 DM",2241,"critical account other credits existing (not at this bank)",10,"rent",1,"unskilled - resident",2,2,"none","male single","Less than 1 year",3,"real estate","new car","Less than 100 DM","none","true"
44,"0 to 200 DM",1804,"critical account other credits existing (not at this bank)",12,"own",3,"skilled employee official",1,1,"none","male single","Less than 1 year",4,"building society savings agreement life insurance","used car","100 to 500 DM","none","true"
26,"no checking account",2069,"critical account other credits existing (not at this bank)",10,"own",2,"skilled employee official",1,2,"none","male married widowed","1 to 4 years",1,"car or other not in attribute 6","furniture equipment","unknown no savings account","none","true"
36,"Less than 0 DM",1374,"existing credits paid back duly till now",6,"own",1,"unskilled - resident",1,1,"bank","male single","1 to 4 years",2,"real estate","furniture equipment","Less than 100 DM","yes registered under the customers name","true"
39,"no checking account",426,"no credits taken all credits paid back duly",6,"own",4,"unskilled - resident",1,1,"none","male married widowed","Greater than 7 years",4,"car or other not in attribute 6","radio television","Less than 100 DM","none","true"
